Date,Occasion,Problems
01-09,Day 1,Two Sum; Valid Anagram
02-09,Day 2,Contains Duplicate; Best Time to Buy and Sell Stock
03-09,Day 3,Majority Element; Move Zeroes
04-09,Day 4,Single Number; Intersection of Two Arrays II
05-09,Day 5,Plus One; Merge Sorted Array
06-09,Sunday,HOLIDAY
07-09,Day 6,Remove Duplicates from Sorted Array; Remove Element
08-09,Day 7,Search Insert Position; Valid Palindrome
09-09,Day 8,Reverse String; Reverse Integer
10-09,Day 9,Palindrome Number; Roman to Integer
11-09,Day 10,Integer to Roman; Longest Common Prefix
12-09,Day 11,Find the Index of the First Occurrence in a String; Length of Last Word
13-09,Sunday,HOLIDAY
14-09,Ganesh Chaturthi,HOLIDAY
15-09,Day 12,Add Binary; Sqrt(x)
16-09,Day 13,Climbing Stairs; Pascal's Triangle
17-09,Day 14,Pascal's Triangle II; Missing Number
18-09,Day 15,Find All Numbers Disappeared in an Array; Third Maximum Number
19-09,Day 16,Assign Cookies; Two Sum II - Input Array Is Sorted
20-09,Sunday,HOLIDAY
21-09,Day 17,Squares of a Sorted Array; Fibonacci Number
22-09,Day 18,Ransom Note; First Unique Character in a String
23-09,Day 19,Isomorphic Strings; Word Pattern
24-09,Day 20,Happy Number; Excel Sheet Column Title
25-09,Day 21,Excel Sheet Column Number; Power of Two
26-09,Day 22,Power of Three; Power of Four
27-09,Sunday,HOLIDAY
28-09,Day 23,Ugly Number; Count Primes
29-09,Day 24,Add Digits; Number of 1 Bits
30-09,Day 25,Reverse Bits; Hamming Distance
01-10,Day 26,Backspace String Compare; Find All Anagrams in a String
02-10,Day 27,3Sum; 3Sum Closest
03-10,Day 28,Container With Most Water; 4Sum
04-10,Sunday,HOLIDAY
05-10,Day 29,Sort Colors; Subarray Product Less Than K
06-10,Day 30,Longest Substring Without Repeating Characters; Max Consecutive Ones III
07-10,Day 31,Minimum Size Subarray Sum; Fruit Into Baskets
08-10,Day 32,Longest Repeating Character Replacement; Boats to Save People
09-10,Day 33,Permutation in String; Sort an Array
10-10,Day 34,Reverse Linked List; Kth Largest Element in an Array
11-10,Sunday,HOLIDAY
12-10,Day 35,Merge Two Sorted Lists; Sliding Window Maximum
13-10,Day 36,Linked List Cycle; Minimum Window Substring
14-10,Day 37,Palindrome Linked List; Rotate Array
15-10,Day 38,Remove Duplicates from Sorted List; Product of Array Except Self
16-10,Day 39,Middle of the Linked List; Trapping Rain Water
17-10,Day 40,Valid Parentheses; Subsets
18-10,Sunday,HOLIDAY
19-10,Day 41,Implement Queue using Stacks; Subsets II
20-10,Dussehra,HOLIDAY
21-10,Day 42,Implement Stack using Queues; Permutations
22-10,Day 43,Min Stack; Permutations II
23-10,Day 44,Add Two Numbers; Combinations
24-10,Day 45,Backspace String Compare; Combination Sum
25-10,Sunday,HOLIDAY
26-10,Day 46,3Sum; Combination Sum II
27-10,Day 47,Container With Most Water; Letter Combinations of a Phone Number
28-10,Day 48,Sort Colors; Generate Parentheses
29-10,Day 49,Longest Substring Without Repeating Characters; Word Search
30-10,Day 50,Minimum Size Subarray Sum; Palindrome Partitioning
31-10,Day 51,Longest Repeating Character Replacement; Combination Sum III
01-11,Sunday,HOLIDAY
02-11,Day 52,Binary Search; First Bad Version
03-11,Day 53,Valid Perfect Square; Search in Rotated Sorted Array
